date,ticker,price
2013-01-01,BP.L,463.3311462402344
2013-02-01,BP.L,442.4353637695313
2013-03-01,BP.L,456.5909118652344
2013-04-01,BP.L,463.0441589355469
2013-05-01,BP.L,470.0433044433594
2013-06-01,BP.L,452.0299987792969
2013-07-01,BP.L,451.3350524902344
2013-08-01,BP.L,443.0441284179688
2013-09-01,BP.L,430.0912780761719
2013-10-01,BP.L,479.34674072265625
2013-11-01,BP.L,478.6514892578125
2013-12-01,BP.L,484.7170715332031
2014-01-01,BP.L,474.73577880859375
2014-02-01,BP.L,500.9554748535156
2014-03-01,BP.L,476.7773742675781
2014-04-01,BP.L,495.84857177734375
2014-05-01,BP.L,499.62310791015625
2014-06-01,BP.L,511.5024108886719
2014-07-01,BP.L,480.8063659667969
2014-08-01,BP.L,478.4718933105469
2014-09-01,BP.L,450.5134582519531
2014-10-01,BP.L,446.0923767089844
2014-11-01,BP.L,417.4789123535156
2014-12-01,BP.L,408.3976135253906
2015-01-01,BP.L,421.762451171875
2015-02-01,BP.L,445.2130126953125
2015-03-01,BP.L,433.9998168945313
2015-04-01,BP.L,467.1933898925781
2015-05-01,BP.L,447.9630126953125
2015-06-01,BP.L,417.60980224609375
2015-07-01,BP.L,393.0591125488281
2015-08-01,BP.L,358.3204650878906
2015-09-01,BP.L,332.03582763671875
2015-10-01,BP.L,384.12744140625
2015-11-01,BP.L,382.98431396484375
2015-12-01,BP.L,351.9761962890625
2016-01-01,BP.L,373.9497985839844
2016-02-01,BP.L,349.440673828125
2016-03-01,BP.L,348.2221374511719
2016-04-01,BP.L,371.6920776367188
2016-05-01,BP.L,355.2830810546875
2016-06-01,BP.L,435.8207702636719
2016-07-01,BP.L,424.580810546875
2016-08-01,BP.L,425.6252136230469
2016-09-01,BP.L,447.6893310546875
2016-10-01,BP.L,481.21624755859375
2016-11-01,BP.L,457.0907287597656
2016-12-01,BP.L,507.0710144042969
2017-01-01,BP.L,470.5035400390625
2017-02-01,BP.L,451.2991943359375
2017-03-01,BP.L,455.3605346679688
2017-04-01,BP.L,440.3825988769531
2017-05-01,BP.L,464.4667663574219
2017-06-01,BP.L,440.75537109375
2017-07-01,BP.L,443.7415466308594
2017-08-01,BP.L,443.0945434570313
2017-09-01,BP.L,475.17333984375
2017-10-01,BP.L,507.92669677734375
2017-11-01,BP.L,486.9207458496094
2017-12-01,BP.L,520.4450073242188
2018-01-01,BP.L,498.9381713867188
2018-02-01,BP.L,473.10003662109375
2018-03-01,BP.L,477.2545776367188
2018-04-01,BP.L,535.7598876953125
2018-05-01,BP.L,573.9002075195312
2018-06-01,BP.L,575.9669799804688
2018-07-01,BP.L,570.9871826171875
2018-08-01,BP.L,545.0919799804688
2018-09-01,BP.L,587.0033569335938
2018-10-01,BP.L,565.0889892578125
2018-11-01,BP.L,517.9733276367188
2018-12-01,BP.L,494.0900573730469
2019-01-01,BP.L,518.1493530273438
2019-02-01,BP.L,532.3959350585938
2019-03-01,BP.L,556.4835815429688
2019-04-01,BP.L,556.981689453125
2019-05-01,BP.L,538.1499633789062
2019-06-01,BP.L,546.7012329101562
2019-07-01,BP.L,543.8110961914062
2019-08-01,BP.L,498.4686584472656
2019-09-01,BP.L,514.0996704101562
2019-10-01,BP.L,487.6869812011719
2019-11-01,BP.L,478.616943359375
2019-12-01,BP.L,470.1169128417969
2020-01-01,BP.L,455.26373291015625
2020-02-01,BP.L,394.9041442871094
2020-03-01,BP.L,343.176513671875
2020-04-01,BP.L,312.1690368652344
2020-05-01,BP.L,304.8408203125
2020-06-01,BP.L,306.3680419921875
2020-07-01,BP.L,274.4046936035156
2020-08-01,BP.L,263.4844665527344
2020-09-01,BP.L,224.61924743652344
2020-10-01,BP.L,196.09300231933597
2020-11-01,BP.L,247.01133728027344
2020-12-01,BP.L,254.19058227539065
2021-01-01,BP.L,270.8506774902344
2021-02-01,BP.L,291.05224609375
2021-03-01,BP.L,293.9848022460937
2021-04-01,BP.L,302.3158569335937
2021-05-01,BP.L,305.45880126953125
2021-06-01,BP.L,314.3254699707031
2021-07-01,BP.L,288.5807189941406
2021-08-01,BP.L,296.3141174316406
2021-09-01,BP.L,339.6143493652344
2021-10-01,BP.L,349.4944152832031
2021-11-01,BP.L,324.7943115234375
2021-12-01,BP.L,329.8730163574219
2022-01-01,BP.L,382.0737609863281
2022-02-01,BP.L,362.8603210449219
2022-03-01,BP.L,374.6764831542969
2022-04-01,BP.L,390.8474426269531
2022-05-01,BP.L,433.4708557128906
2022-06-01,BP.L,387.6434326171875
